win_rate,win_rate_percent,attendance,,,total_homegame_attendance,year,,,win_rate,win_rate_percent,year,,,attendance,win_rate,win_rate_percent,team,,NYA,2006902,1950,1930529,1951,-76373,,,,,,,
0.00,0.0,450,,,274000,1871,,,0.64516129,64.5,1871,,,11000,0.33766233766233766234,33.8,BOS,,SLN,2111922,1982,2036397,1983,-75525,,,,,,,
0.05,4.5,11324,,,219050,1872,,,0.64516129,64.5,1871,,,11156,0.31612903225806451613,31.6,BOS,,PHA,298000,1929,230000,1930,-68000,,,,,,,
0.08,7.7,4277,,,272497,1874,,,0.678571429,67.9,1871,,,26000,0.59523809523809523810,59.5,BOS,,NYA,1039111,1937,972866,1938,-66245,,,,,,,
0.10,10.3,3400,,,398576,1875,,,0.678571429,67.9,1871,,,32063,0.48387096774193548387,48.4,BOS,,NYA,3293259,1999,3227657,2000,-65602,,,,,,,
0.14,14.3,3300,,,201558,1886,,,0.344827586,34.5,1871,,,36000,0.37419354838709677419,37.4,BOS,,SLN,2089645,1967,2032257,1968,-57388,,,,,,,
0.15,14.9,700,,,390425,1887,,,0.344827586,34.5,1871,,,37000,0.27922077922077922078,27.9,BOS,,NY1,51900,1888,7490,1889,-44410,,,,,,,
0.15,14.9,14404,,,171914,1888,,,0.368421053,36.8,1871,,,47000,0.40522875816993464052,40.5,BOS,,NYA,1067362,1936,1039111,1937,-28251,,,,,,,
0.16,16.0,1000,,,142119,1889,,,0.484848485,48.5,1871,,,60000,0.33766233766233766234,33.8,BOS,,CHA,140297,1906,121000,1911,-19297,,,,,,,
0.16,16.0,5200,,,359487,1890,,,0.75,75.0,1871,,,67000,0.47826086956521739130,47.8,BOS,,SL4,33000,1886,16700,1887,-16300,,,,,,,
0.17,16.7,4275,,,46480,1891,,,0.16,16.0,1871,,,93568,0.50980392156862745098,51.0,BOS,,NYA,972866,1938,965387,1939,-7479,,,,,,,
0.18,17.9,200,,,63177,1892,,,0.16,16.0,1871,,,93800,0.39610389610389610390,39.6,BOS,,CIN,285151,1919,292000,1920,6849,,,,,,,
0.18,17.9,2000,,,131307,1893,,,0.448275862,44.8,1871,,,105823,0.57232704402515723270,57.2,BOS,,TOR,4028318,1992,4057747,1993,29429,,,,,,,
0.18,17.9,8350,,,2291238,1894,,,0.46875,46.9,1871,,,106000,0.29870129870129870130,29.9,BOS,,DTN,16700,1887,51900,1888,35200,,,,,,0.546296296,lost attendance
0.19,19.1,11100,,,118600,1895,,,0.46875,46.9,1871,,,106000,0.37419354838709677419,37.4,BOS,,PIT,1707089,1960,1747726,1961,40637,,,,,,,
0.19,19.3,3000,,,118500,1897,,,0.46875,46.9,1871,,,122618,0.40522875816993464052,40.5,BOS,,SFN,3037267,2010,3093954,2011,56687,,,,,,,
0.21,20.8,500,,,7000,1898,,,0.46875,46.9,1871,,,137000,0.46753246753246753247,46.8,BOS,,OAK,927544,1972,1000045,1973,72501,,,,,,,
0.21,20.8,600,,,48000,1899,,,0.603448276,60.3,1872,,,140000,0.30921052631578947368,30.9,BOS,,NYA,2255051,1996,2352567,1997,97516,,,,,,,
0.21,20.8,1200,,,288929,1900,,,0.103448276,10.3,1872,,,147000,0.42281879194630872483,42.3,BOS,,NYA,2316023,1977,2424399,1978,108376,,,,,,,
0.21,21.1,5700,,,133603,1901,,,0.243243243,24.3,1872,,,153500,0.48701298701298701299,48.7,BOS,,NY1,7490,1889,140297,1906,132807,,,,,,,
0.22,22.0,10000,,,746636,1906,,,0.8125,81.3,1872,,,187000,0.37012987012987012987,37.0,BOS,,DET,2032257,1968,2192091,1969,159834,,,,,,,
0.22,22.2,700,,,84555,1908,,,0.272727273,27.3,1872,,,197100,0.39610389610389610390,39.6,BOS,,SLN,532938,1942,696037,1943,163099,,,,,,,
0.22,22.4,6700,,,1119166,1911,,,0.272727273,27.3,1872,,,289500,0.33116883116883116883,33.1,BOS,,PHA,230000,1930,408350,1931,178350,,,,,,,
0.24,23.8,5000,,,6356501,1912,,,0.208333333,20.8,1872,,,303500,0.42675159235668789809,42.7,BOS,,CIN,856577,1940,1053678,1941,197101,,,,,,,
0.24,24.3,8350,,,3175179,1913,,,0.208333333,20.8,1872,,,366173,0.65161290322580645161,65.2,BOS,,BOS,26000,1918,285151,1919,259151,,,,,,,
0.25,24.8,181274,,,5285641,1914,,,0.208333333,20.8,1872,,,372897,0.49673202614379084967,49.7,BOS,,SLN,3093954,2011,3377371,2012,283417,,,,,,,
0.25,24.8,925807,,,3834005,1915,,,0.607142857,60.7,1872,,,382197,0.43870967741935483871,43.9,BOS,,PHI,3422583,2008,3719358,2009,296775,,,,,,,
0.26,25.7,21200,,,943500,1916,,,0.638297872,63.8,1872,,,402985,0.57324840764331210191,57.3,BOS,,CIN,2315603,1975,2629708,1976,314105,,,,,,,
0.26,26.0,6362,,,3524302,1917,,,0.6,60.0,1872,,,449427,0.50649350649350649351,50.6,BOS,,NYA,2949734,1998,3293259,1999,343525,,,,,,,
0.26,26.3,5000,,,738380,1918,,,0.6,60.0,1872,,,476100,0.52317880794701986755,52.3,BOS,,SLN,408350,1931,761856,1932,353506,,,,,,,
0.27,26.5,1368245,,,3408707,1919,,,0.222222222,22.2,1872,,,546353,0.49358974358974358974,49.4,BOS,,DET,703500,1935,1067362,1936,363862,,,,,,,
0.27,26.9,2292,,,4762688,1920,,,0,0.0,1872,,,573913,0.51948051948051948052,51.9,BOS,,WS1,338500,1924,710353,1925,371853,,,,,,,
0.27,27.1,686671,,,5451834,1921,,,0.191489362,19.1,1874,,,645846,0.45222929936305732484,45.2,BOS,,BOS,366173,1915,741000,1917,374827,,,,,,,
0.27,27.3,1500,,,5074630,1922,,,0.392857143,39.3,1874,,,649996,0.47741935483870967742,47.7,BOS,,NYA,2225010,1947,2659990,1948,434980,,,,,,,
0.27,27.3,5000,,,6966557,1923,,,0.732394366,73.2,1874,,,651761,0.38271604938271604938,38.3,BOS,,BOS,2970755,2007,3422583,2008,451828,,,,,,,
0.28,27.6,142319,,,8019277,1924,,,0.732394366,73.2,1874,,,660998,0.58552631578947368421,58.6,BOS,,BAL,1027904,1970,1540368,1971,512464,,,,,,,
0.28,27.7,81606,,,7533323,1925,,,0.474576271,47.5,1874,,,661100,0.58666666666666666667,58.7,BOS,,KCA,2708549,2015,3232420,2016,523871,,,,,,,
0.28,27.7,101722,,,3812422,1926,,,0.301886792,30.2,1874,,,665050,0.68181818181818181818,68.2,BOS,,BOS,2833333,2013,3368697,2014,535364,,,,,,,
0.28,27.8,72827,,,8300190,1927,,,0.301886792,30.2,1874,,,723710,0.47500000000000000000,47.5,BOS,,PHA,121000,1911,665050,1912,544050,,,,,,,
0.28,27.9,16500,,,4717492,1928,,,0.646153846,64.6,1874,,,747909,0.53246753246753246753,53.2,BOS,,SLN,159174,1934,703500,1935,544326,,,,,,,
0.28,27.9,37000,,,5721653,1929,,,0.6,60.0,1874,,,781743,0.61184210526315789474,61.2,BOS,,NYA,1633381,1956,2215041,1957,581660,,,,,,,
0.28,28.3,61000,,,3630889,1930,,,0.5,50.0,1874,,,784344,0.54193548387096774194,54.2,BOS,,FLO,2352567,1997,2949734,1998,597167,,,,,,,
